Search,Search Count,Last Search Date
"""Java""",1,132577238956583377
"Search/data/application",1,132577108968712117
"SystemData",1,132577099719482834
"DiagnosticLogCSP",1,132577099013818977
"EdgeUpdate",1,132577098055575074
"Search",1,132577096743607898
"Agent",1,132577096184715771
"AppRepository",1,132577094763239213
"Windows Defender",1,132577092131954835
"Avide",1,132577087867725158
"GIMP 2",1,132577086633377559
"TortoiseGit",1,132577084266830806
"Easeware",1,132577083923266304
"Filtration",1,132577079303771942
"SoulseekQt",1,132577078630602356
"RaidCall",1,132577077848573506
"Beyond Compare 4",1,132577076506176393
"Skype",1,132577074815906346
"TeamViewer",1,132577074365819799
"ATI Technologies",1,132577074224101550
"AMD",1,132577073697090392
"MusicBee",1,132577073174240393
"VLC",1,132577070661714337
"syncables",1,132577070607188130
"StarUML",1,132577069770232452
"Microsoft VS Code",1,132577068409238182
"iTunes",1,132577067817607068
"Tomahawk",1,132577066166837485
"ShareMouse",1,132577063347316356
"USOPrivate",1,132577061752347201
"Packages",1,132577060127122839
"""Google""",1,132577059395250868
"ScanSoft",1,132577058819987218
"Last.fm",1,132577058406260827
"FLEXnet",1,132577057661092404
"USOShared",1,132577056323350969
"Path of Building",1,132577055681117143
"Blizzard Entertainment",1,132577054210552295
"Oracle",1,132577053191275271
"galaxy",1,132577051807358471
" microsoft",1,132577049842146313
"E:\ToDatabase\",1,132576890753929034
"regex:child:""[.]git$""",1,132575966657749438
"regex:child:""[.]git""",1,132575966498420129
""".git""",1,132575941716716609
"arena",1,132575674950953711
