Filename,Run Count,Last Run Date
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Kv-FlaggGenerering\.idea\dataSources\027c2d16-67ba-4eeb-837e-f99b41e4c813",1,132757566294425055
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\Geosecma-Solen-Visoin-Vyer\Sol-vision\sol21.csv",1,132757565567775727
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\default\.idea\dataSources\cbde40e1-0091-4576-9aa8-1c7aeb5086a4\storage_v2\_src_\database\EDPGeodata.qgXWDg\schema\dbo.sYMBAA.zip",1,132757558665142107
"C:\Users\crbk01\AppData\Roaming\JetBrains\DataGrip2021.1\projects\default\storage\.git\HEAD",1,132757558364980232
"C:\Users\crbk01\Desktop\OnGithub\Everything-1.4.1.1005.x64\Bookmarks.csv",1,132607980620326378
"C:\Users\crbk01\OneDrive - Region Gotland\Documents\Downloads\Evernote_6.25.2.9198.exe",1,132598486270411522
"C:\Users\crbk01\Desktop\konversationshistorik2.CSV",1,132598480442963076
"C:\Users\crbk01\Desktop\konversationshistorik.CSV",1,132598479391804382
"C:\Program Files (x86)\Microsoft Office\Office16\SCANPST.EXE",1,132598470670750352
"E:\PortableApps\4, windows enhance\PortableApps\AutoHotkeyPortable\Data\AutoHotkey.ahk",1,132594304221625464
"C:\Program Files\AutoHotkey\WindowSpy.ahk",1,132594268539521498
"E:\PortableApps\5. image\PortableApps\IrfanView\Plugins\Mp3.dll",1,132594248564337155
"E:\Program Files\K-Lite Codec Pack",1,132594245844690916
"E:\PortableApps\5. audio\PortableApps\dBpowerAMP Music Converter R13.2 Reference Edition\Utility Codecs",1,132594245262936430
"E:\Programming(projects)\Sql\consoles\db\e763f48c-b1d7-4395-81fa-167e2f3e7a9f\CREATE_VIEW_WordInheretance_As_Todo_Increase_Preformance_WITH_Tosplit___E_.sql",1,132593564709378485
"E:\Programming(projects)\Sql\consoles\db\c5d544b3-4aa9-4420-b6d7-4ecefe73ca52\With_UrlsWithDomain_TitleSimplification_KnownDivider_As_DomainStatistics_Sql_.sqlsql",1,132593564306639867
"E:\Programming(projects)\Sql\consoles\db\e763f48c-b1d7-4395-81fa-167e2f3e7a9f\Create_View_MostCommonWordsAmoungNotMostCommonTitles_CREATE_VIEW_Possible_W_Sq.sqlsql",1,132593563817915853
"E:\Programming(projects)\Sql\consoles\db\2f5cf3b0-9e3b-4bc7-8be5-25fdf4dd5e90\Create_View_SplitTrimmedBySpaces_As_WITH_Tosplit_As_Select_Titlex_F_Sql__E_.sqlsql",1,132593562926465378
"E:\Programming(projects)\Sql\consoles\db\e763f48c-b1d7-4395-81fa-167e2f3e7a9f\Create_View_SplitTrimmedBySpaces_As_WITH_Tosplit_As_Select_Titlex_F_Sql__E_.sqlsql",1,132593561839439828
"E:\Programming(projects)\Sql\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\CREATE_VIEW_UniqueasWithTitles_As_Select_Max_Id_Id_Trim_Url_Url_Trim_Tit_Sql_.sqlsql",1,132593558939831057
"E:\Programming(projects)\Sql\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\CREATE_VIEW_OneTabIdea_Bing_As_With_Yrls_As_Select_Max_Id_Max_Url_Url_Sql__D.sqlsql",1,132593558806023446
"E:\Programming(projects)\Sql\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\CREATE_VIEW_OneTab_Idea_As_With_Yrls_As_Select_Substr_Title_Instr_Title_Sql_.sqlsql",1,132593558765018832
"E:\Programming(projects)\Sql\consoles\db\df12b0e0-4edc-4d15-ad9c-975f1eb86a9f\Select_Group_Concat_Qtitle_Count_C_From_Select_Sql__Df_b_e_edc_d_Ad_c.sql",1,132593558141766434
"E:\Programming(projects)\Sql\consoles\db\2bf7430e-d0ae-4128-94f7-9080f95eca0c\console.sql",1,132593558021997756
